microtrait_rule-name,microtrait_trait-name1,microtrait_trait-name2,microtrait_trait-name3
fdhC,,,
aaeB,,,
aap_full,,,
aap_key,,,
abgT,,,
acrD,,,
acrF,,,
actP,,,
ade_full,,,
ade_partial,,,
adiC,,,
afu_full,,,
afu_key,,,
aga_full,,,
aga_partial,,,
agl_full,,,
agl_key,,,
agu_full,,,
agu_key,,,
algE,,,
allP,,,
als_full,,,
als_key,,,
ameC,,,
amiS,,,
ampG,,,
amsL,,,
amt,,,
ansP,,,
aot_full,,,
aot_key,,,
ara-1_full,,,
ara-1_key,,,
ara-2_full,,,
ara-2_key,,,
araE,,,
araJ,,,
arcD,,,
arg_full,,,
arg_key,,,
argT,,,
arnE,,,
arsB-1,,,
arsB-2,,,
art-1_full,,,
art-1_partial,,,
art-2_full,,,
art-2_key,,,
asc_full,,,
asc_partial,,,
atoE_key,,,
att_full,,,
att_key,,,
bce_full,,,
bce_key,,,
bcr_full,,,
bcr_key,,,
benE,,,
betL,,,
betT,,,
bgl_full,,,
bgl_partial,,,
bglH,,,
bgt_full,,,
bgt_key,,,
bica,,,
bio-1_full,,,
bio-1_key,,,
bio-2_full,,,
bio-2_key,,,
blpA,,,
bpeEF-oprC_full,,,
bpeEF-oprC_partial,,,
bra_full,,,
bra_partial,,,
btu_full,,,
btu_key,,,
btuB,,,
bxl_full,,,
bxl_key,,,
cbi-1_full,,,
cbi-1_partial,,,
cbi-2_full,,,
cbi-2_key,,,
ccm-1_full,,,
ccm-1_partial,,,
ceb_full,,,
ceb_key,,,
cel_full,,,
cel_partial,,,
cfrA,,,
chaA,,,
chi_full,,,
chi_key,,,
chrA,,,
citA,,,
citT,,,
cmlA,,,
cmp_full,,,
cmp_key,,,
codB,,,
corA,,,
cusA,,,
cusC,,,
cycA,,,
cyd_full,,,
cyd_partial,,,
cys_full,,,
cys_partial,,,
czcA,,,
czcC,,,
czcD,,,
das_full,,,
das_key,,,
dct_full,,,
dct_key,,,
dctA,,,
dcuA,,,
dcuB,,,
dcuC,,,
dev_full,,,
dev_partial,,,
dga_full,,,
dga_partial,,,
dgl_full,,,
dgl_partial,,,
dltB,,,
dpp-1_full,,,
dpp-1_key,,,
dpp-2_full,,,
dpp-2_key,,,
dsdX,,,
eamA,,,
eamB,,,
ebr-1_full,,,
ebr-1_partial,,,
ebr-2,,,
ecfA1,,,
eexD_key,,,
efeB,,,
efeO,,,
emrK,,,
emrY,,,
entS,,,
eps_full,,,
eps_partial,,,
ery_full,,,
ery_key,,,
exb_full,,,
exb_key,,,
exbD_full,,,
exbD_key,,,
exoF,,,
exoT,,,
fadL,,,
fdhC,,,
fec_full,,,
fec_key,,,
fecA,,,
fep_full,,,
fep_key,,,
fepA,,,
fev_full,,,
fev_key,,,
fhu_full,,,
fhu_key,,,
fieF,,,
fiu,,,
flq_full,,,
flq_partial,,,
focA,,,
focB,,,
fpvA,,,
frc_full,,,
frc_key,,,
fru1_full,,,
fru1_partial,,,
fru2_full,,,
fru2_partial,,,
ftrA,,,
gal_full,,,
gal_partial,,,
galP,,,
gam_full,,,
gam_partial,,,
gan_full,,,
gan_key,,,
gat_full,,,
gat_partial,,,
gesB,,,
gfr_full,,,
gfr_partial,,,
ggu_full,,,
ggu_key,,,
glc_full,,,
glc_key,,,
glc-1_full,,,
glc-1_partial,,,
glc-2_full,,,
glc-2_partial,,,
glcT1,,,
glcU,,,
glf,,,
gln_full,,,
gln_key,,,
glp_full,,,
glp_key,,,
glpF,,,
glt_full,,,
glt_key,,,
gltP,,,
glu_full,,,
glu_key,,,
glucP,,,
glv_full,,,
glv_partial,,,
glycA,,,
gntP,,,
gntT,,,
gntU,,,
gsi_full,,,
gsi_key,,,
gts_full,,,
gts_key,,,
gut_full,,,
gut_partial,,,
gutA,,,
hasA,,,
hasR,,,
hcaT,,,
his_full,,,
his_key,,,
hpt,,,
hrt_full,,,
hrt_key,,,
hutM,,,
hutT,,,
hxt,,,
idnT,,,
ino_full,,,
ino_key,,,
iolF,,,
itsp-1_full,,,
itsp-1_key,,,
itsp-2_full,,,
itsp-2_key,,,
kdgM,,,
kdgT,,,
kgtP,,,
kps_full,,,
kps_key,,,
kup,,,
lac-1_full,,,
lac-1_partial,,,
lac-2_full,,,
lac-2_key,,,
lacS,,,
lacY,,,
lamB,,,
lctB,,,
lctP-1,,,
lctP-2,,,
leuE,,,
lhp_full,,,
lhp_key,,,
liv_full,,,
liv_key,,,
lpiT,,,
lpl_full,,,
lpl_key,,,
lys_full,,,
lys_key,,,
lysE,,,
lysP,,,
macA_full,,,
macA_partial,,,
macB_full,,,
macB_partial,,,
maeN,,,
mal-1_full,,,
mal-1_partial,,,
mal-2_full,,,
mal-2_key,,,
malglc_full,,,
malglc_partial,,,
malY,,,
man_full,,,
man_partial,,,
marC,,,
mdcF,,,
mdt_full,,,
mdt_partial,,,
mdtD,,,
mdtF,,,
mdtO,,,
mdtP,,,
melB,,,
mer_full,,,
mer_partial,,,
merC,,,
merE,,,
met_full,,,
met_key,,,
mfs.cp,,,
mfs.set,,,
mgl_full,,,
mgl_key,,,
mgtE,,,
mhpT,,,
mla-1_full,,,
mla-1_partial,,,
mla-2,,,
mleP,,,
mmpL10,,,
mmpL11,,,
mmr,,,
mmuP,,,
mn_full,,,
mn_key,,,
mng_full,,,
mng_partial,,,
mnh_full,,,
mnh_partial,,,
mnt-1_full,,,
mnt-1_key,,,
mnt-2_full,,,
mnt-2_key,,,
mntH,,,
mntP_key,,,
mod_full,,,
mod_key,,,
msbA,,,
mscL,,,
msm-1_full,,,
msm-1_key,,,
msm-2_full,,,
msm-2_key,,,
mthK,,,
mtl-1_full,,,
mtl-1_partial,,,
mtl-2_full,,,
mtl-2_partial,,,
mtr-2,,,
mtrD,,,
mts_full,,,
mts_key,,,
mur_full,,,
mur_partial,,,
nag_full,,,
nag_partial,,,
nat-1_full,,,
nat-1_key,,,
nat-2_full,,,
nat-2_key,,,
nepI,,,
ngc_full,,,
ngc_key,,,
nhaA,,,
nhaB,,,
nhaC,,,
niaX,,,
nik_full,,,
nik_key,,,
nirC,,,
nis_full,,,
nis_partial,,,
nisA,,,
nitregulatory_full,,,
nitregulatory_partial,,,
nixA,,,
nod_full,,,
nod_partial,,,
