ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,g_Devosia_ASV37
ASV38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,g_Devosia_ASV38
ASV39,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV39,f_o_Rhizobiales_ASV39_ASV39,g_f_o_Rhizobiales_ASV39_ASV39_ASV39
ASV40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV40,f_o_Rhizobiales_ASV40_ASV40,g_f_o_Rhizobiales_ASV40_ASV40_ASV40
ASV41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV41,f_o_Rhizobiales_ASV41_ASV41,g_f_o_Rhizobiales_ASV41_ASV41_ASV41
ASV42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV42,f_o_Rhizobiales_ASV42_ASV42,g_f_o_Rhizobiales_ASV42_ASV42_ASV42
ASV43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV43,f_o_Rhizobiales_ASV43_ASV43,g_f_o_Rhizobiales_ASV43_ASV43_ASV43
ASV44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV44,f_o_Rhizobiales_ASV44_ASV44,g_f_o_Rhizobiales_ASV44_ASV44_ASV44
ASV45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV45,f_o_Rhizobiales_ASV45_ASV45,g_f_o_Rhizobiales_ASV45_ASV45_ASV45
ASV46,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV46,f_o_Rhizobiales_ASV46_ASV46,g_f_o_Rhizobiales_ASV46_ASV46_ASV46
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV47,f_o_Rhizobiales_ASV47_ASV47,g_f_o_Rhizobiales_ASV47_ASV47_ASV47
ASV48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV48,f_o_Rhizobiales_ASV48_ASV48,g_f_o_Rhizobiales_ASV48_ASV48_ASV48
ASV49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,g_Devosia_ASV49
ASV50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV50,f_o_Rhizobiales_ASV50_ASV50,g_f_o_Rhizobiales_ASV50_ASV50_ASV50
ASV51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV51,f_o_Rhizobiales_ASV51_ASV51,g_f_o_Rhizobiales_ASV51_ASV51_ASV51
ASV52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,g_Kaistia_ASV52
ASV53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV53,f_o_Rhizobiales_ASV53_ASV53,g_f_o_Rhizobiales_ASV53_ASV53_ASV53
ASV54,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV54,f_o_Rhizobiales_ASV54_ASV54,g_f_o_Rhizobiales_ASV54_ASV54_ASV54
ASV55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV55,f_o_Rhizobiales_ASV55_ASV55,g_f_o_Rhizobiales_ASV55_ASV55_ASV55
ASV56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylopila,g_Methylopila_ASV56
ASV57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylopila,g_Methylopila_ASV57
ASV58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV58
ASV59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV59
ASV60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV60
ASV61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV61
ASV62,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,g_Rhodoplanes_ASV62
ASV63,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV63,f_o_Rhizobiales_ASV63_ASV63,g_f_o_Rhizobiales_ASV63_ASV63_ASV63
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV64,f_o_Rhizobiales_ASV64_ASV64,g_f_o_Rhizobiales_ASV64_ASV64_ASV64
ASV65,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,f_Xanthobacteraceae_ASV65,g_f_Xanthobacteraceae_ASV65_ASV65
ASV66,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV66,f_o_Rhizobiales_ASV66_ASV66,g_f_o_Rhizobiales_ASV66_ASV66_ASV66
