,S_1WB,S_1WC,S_1WM,S_2WB,S_2WC,S_2WM,S_3WB,S_3WC,S_3WM,S_4WB,S_4WC,S_4WM,S_5WB,S_5WC,S_5WM,S_6WB,S_6WC,S_6WM
S_1WB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1WC,2.51162775828408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1WM,3.04040854798843,0.955729797446907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2WB,3.47874621660824,4.12579654857055,0.265569680886987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2WC,-1.25203308169155,1.15509561625051,-1.0385087978977,2.36514156115803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2WM,-2.42530597180686,-0.666843490243926,-3.48037096369695,-1.26049372177146,-2.28623326591161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3WB,2.53357965889835,2.72703482383899,3.07367541067828,-3.09949054625615,2.97635065676436,-1.8679452324788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3WC,-0.410922265854627,0.631248810861673,-2.15530035761453,2.88847593619526,-0.602425310041024,-3.57612744363527,2.53000684618766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3WM,1.16766136653082,-0.0520919714147697,-1.27739444762211,-0.629080376664339,-1.14664141735527,-8.01589063889996,0.249055275775772,-1.16900450526421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4WB,2.49321556092842,6.88214876787671,3.02523451794203,5.88707347806011,2.50302580670258,0.413365900226772,2.50647084942093,1.70311196137424,0.99749486394418,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4WC,1.98966813558062,5.30101448883373,0.0654164684921714,5.5103584795859,1.48230978016165,-2.71640991144784,1.41900627972332,0.0603542530510747,-2.66255919491222,6.71446569682835,NA,NA,NA,NA,NA,NA,NA,NA
S_4WM,0.378844317943799,-0.673408887721712,-2.04006950054075,0.788153382715954,-1.81713342835673,-3.85266233529699,3.88409512271512,-2.54265858079459,-2.60571315374095,1.10495102797263,-2.28263401681225,NA,NA,NA,NA,NA,NA,NA
S_5WB,1.11444372066776,3.7427215696541,1.00121293269849,2.45614073173718,3.13004391867197,0.262735503109991,1.01457064192356,2.83631998371131,1.9062453967312,5.38476417527565,4.35481397995386,0.837126249927299,NA,NA,NA,NA,NA,NA
S_5WC,0.637942702065716,6.98786666171533,0.0108004822049729,3.26184878961541,0.776930175557729,-1.86397765444515,0.0321732317051034,-0.32032476044166,-1.46567446551629,7.5286675666837,6.45801737774899,-2.48347774705463,4.23419482029772,NA,NA,NA,NA,NA
S_5WM,-0.432050326509869,1.54486075191042,-1.89516328441466,1.47327674466613,-2.20067477599554,-7.67640902346119,0.112380127921643,-3.275332921169,-6.78529712907341,1.68747892439575,-0.667628212500251,-3.83433908442732,1.85379498930872,-0.899639330462481,NA,NA,NA,NA
S_6WB,1.69445497057552,1.54699144854563,0.494550089515256,-2.30597396705697,1.1871809016298,-3.60343455358687,-4.3859469981277,0.962900676238266,-1.17835315054375,2.1789768920064,0.600865131419873,0.514170596975049,0.923644162791647,-0.919534236849977,-1.06753888557916,NA,NA,NA
S_6WC,1.80674457017499,6.85743454113614,-0.55316904704133,4.86703523263082,1.4595436953902,-3.74240348618266,0.949486831455777,-0.579738109624966,-2.06375800601864,8.07726294836495,6.86135846915645,-3.04527124784996,5.43589198905187,7.63181288949684,-1.33426924520106,0.92644473532983,NA,NA
S_6WM,0.0454899276656526,-1.36811830952444,-1.94514273039827,-0.745180593415412,-1.23078024739149,-7.61994288593609,-0.00307021273202122,-1.89995741654563,-4.16151631683451,-0.223460647412517,-3.17497763332555,-1.37599235942469,0.801864753810299,-3.38645172349337,-6.52269007942484,-2.96197140341647,-3.99899639289976,NA
