Bare_ML_ft
1.295_707.22155_RP
1.296_707.22155_RP
1.297_443.04827_RP
1.457_439.14223_RP
1.294_438.04607_RP
1.085_365.10543_RP
19.624_295.22659_RP
1.478_252.14412_RP
10.233_221.0669_RP
1.086_196.95445_RP
1.167_205.06821_RP
1.415_156.10194_RP
