FeatureID,Annotation_Confidence,Final_name,Final_formula,InChIKey,Final_Superclass,Final_Class,Final_Subclass,ClassyFire.level.5,NPC.pathway,NPC.superclass,NPC.class
5.349_221.09205_RP,L3,NA,C11H12N2O3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Aminoacids
17.835_321.204_RP,L3,NA,C17H30O4,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,NA,Polyketides,Octadecanoids,Other Octadecanoids
2.927_208.06376_RP,L3,NA,M,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Dipeptides
6.813_282.08328_RP,L3,NA,C10H11N5O5,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,NA,Carbohydrates,Nucleosides,Purine nucleos(t)ides
19.742_247.22674_RP,L3,NA,C14H30O3,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Long-chain fatty alcohols,Fatty acids,Fatty acyls,Fatty alcohols
7.834_218.17506_RP,L3,NA,C11H23NO3,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids,Fatty acids,Fatty Acids and Conjugates,Fatty acyl carnitines
2.424_172.09689_RP,L3,NA,C8H13NO3,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,Amino acids and Peptides,Small peptides,Dipeptides
16.778_344.24316_RP,L3,NA,C18H33NO5,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,Fatty acids,Linear polyketides,Open-chain polyketides
19.214_339.25079_RP,L3,NA,M,NA,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,NA,Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatrienoic acids
9.407_360.23812_RP,L3,NA,C18H33NO6,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Tertiary amines,Fatty acids,Peptide alkaloids,Simple amide alkaloids
2.435_549.09302_RP,L3,NA,C17H24O20,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,Carbohydrates,Saccharides,Disaccharides
7.636_155.03153_RP,L3,NA,C3H2N6O2,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,Alkaloids,Pseudoalkaloids,Purine alkaloids
17.372_381.22484_RP,L3,NA,C21H32O6,NA,Lipids and lipid-like molecules,NA,NA,NA,Polyketides,Cyclic polyketides,Open-chain polyketides
8.086_258.16996_RP,L3,NA,C13H23NO4,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Terpenoids,Ornithine alkaloids,Piperidine alkaloids
5.748_81.03355_RP,L3,NA,C5H4O,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Shikimates and Phenylpropanoids,Cyclic polyketides,Simple phenolic acids
17.812_514.31638_RP,L3,NA,M,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids
3.946_189.00708_RP,L3,NA,C4H4N4O3S,NA,NA,NA,NA,NA,NA,NA,NA
6.009_282.08327_RP,L3,NA,M,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,Carbohydrates,Nucleosides,Purine nucleos(t)ides
17.692_469.18322_RP,L3,NA,C30H30OP2,NA,Benzenoids,Phenol ethers,NA,NA,Terpenoids,Triterpenoids,Limonoids
