Sample,Type,Treatment,Time,1Fungi_Ascomycota,2Fungi_Ascomycota,3Fungi,4Fungi,5Fungi,6Fungi,7Fungi,8Sordariomycetes_Hypocreales,9Hypocreales_Acremonium,10Fungi_Ascomycota,11Fungi_Basidiomycota,12Fungi,13Fungi,14Fungi,15Fungi,16Fungi,17Fungi,18Fungi_Basidiomycota,19Fungi,20Fungi_Basidiomycota,21Fungi,22Hypocreales_Lecanicillium,23Fungi,24Chaetothyriales_Cyphellophora,25Fungi,26Fungi,27Fungi_Basidiomycota,28Fungi,29Fungi,30Fungi,31Fungi,32Fungi,33Capnodiales_Toxicocladosporium,34Fungi,35Fungi,36Fungi,37Basidiomycota_Agaricomycetes,38Fungi,39Fungi,40Fungi_Basidiomycota,41Fungi,42Fungi_Basidiomycota,43Fungi_Basidiomycota,44Fungi,45Fungi,46Fungi,47Fungi,48Hypocreales_Acremonium,49Fungi_Basidiomycota,50Hypocreales_Acremonium,51Fungi,52Fungi,53Hypocreales_Paramyrothecium,54Fungi_Ascomycota,55Fungi_Basidiomycota,56Fungi,57Fungi_Basidiomycota,58Fungi,59Fungi,60Fungi,61Fungi,62Fungi,63Fungi_Basidiomycota,64Fungi,65Fungi,66Fungi,67Hypocreales_Acremonium,68Fungi_Basidiomycota,69Fungi_Basidiomycota,70Fungi,71Fungi_Basidiomycota,72Fungi,73Fungi_Basidiomycota,74Fungi_Ascomycota,75Fungi_Basidiomycota,76Fungi,77Fungi_Basidiomycota,78Fungi_Ascomycota,79Basidiomycota_Agaricomycetes,80Fungi,81Fungi,82Fungi_Ascomycota,83Fungi,84Fungi,85Pleosporales_Alternaria,86Eurotiales_Aspergillus,87Capnodiales_Cladosporium,88Basidiomycota_Agaricomycetes,89Fungi_Basidiomycota,90Fungi_Basidiomycota,91Hypocreales_Stachybotrys,92Fungi,93Fungi,94Fungi,95Fungi,96Hypocreales_Acremonium,97Fungi,98Eurotiomycetes_Chaetothyriales,99Fungi,100Fungi,101Fungi,102Fungi_Basidiomycota,103Capnodiales_Cladosporium,104Fungi,105Fungi,106Fungi,107Sordariomycetes_Hypocreales,108Sordariomycetes_Hypocreales,109Fungi,110Fungi,111Fungi_Basidiomycota,112Fungi,113Fungi,114Sordariomycetes_Hypocreales,115Fungi,116Fungi_Basidiomycota,117Chaetothyriales_Exophiala,118Fungi,119Fungi,120Fungi_Basidiomycota,121Fungi,122Fungi,123Fungi_Basidiomycota,124Basidiomycota_Agaricomycetes,125Fungi,126Fungi,127Fungi,128Fungi_Basidiomycota,129Fungi,130Eurotiales_Penicillium,131Fungi,132Fungi_Basidiomycota,133Fungi,134Fungi_Basidiomycota,135Basidiomycota_Agaricomycetes,136Fungi,137Fungi,138Fungi_Basidiomycota,139Fungi,140Fungi_Basidiomycota,141Fungi_Ascomycota,142Dothideales_Aureobasidium,143Fungi,144Fungi,145Fungi,146Entomophthorales_Entomophthora,147Capnodiales_Toxicocladosporium,148Fungi,149Fungi,150Fungi_Basidiomycota,151Basidiomycota_Agaricomycetes,152Fungi,153Fungi_Ascomycota,154Fungi,155Fungi_Ascomycota,156Fungi,157Fungi,158Fungi,159Fungi,160Fungi_Ascomycota,161Fungi,162Fungi_Basidiomycota,163Fungi
S40,Bare,0,0,0.192132953,0,0.659821234,0,0.035096428,0,0,0.048739468,0.043995701,0.03418939,0,0,0,0,0,0.216581173,0.043130127,0.069833811,0.153596748,0.097800756,0,0,0,0,0,0,0,0.350121673,0,0,0,0.122299129,0.029873015,0.053883509,0.225090042,0,0,0,0,0,0,0.034555063,0.202173929,0.03867438,0,0,0,0,0.200049013,0,0,0,0,0,0,0,0.04042235,0,0.064985957,0,0,0.16602336,0,0,0,0,0.041647547,0.162116381,0,0,0,0,0,0,0.069743761,0,0,0,0,0,0,0,0,0.087418162,0.050760608,0.041948255,0.05317912,0,0.031907472,0,0,0,0,0,0,0,0,0.11832935,0,0,0,0,0,0,0,0,0,0,0,0,0.081618351,0,0,0.044563411,0,0,0,0,0,0,0,0,0.088062795,0,0,0,0,0,0,0,0,0,0,0,0,0.044984492,0,0,0,0,0,0.027231771,0,0,0,0.039795609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052104683,0.123627951,0.131939481,0.079591218
S41,Bare,0,0,0.037887586,0,0.935025777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175821885,0,0.105250947,0,0,0,0,0,0,0,0,0,0,0,0,0.111147354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077384567,0,0.115936237,0,0,0,0,0.104836843,0,0,0,0,0,0,0,0,0.075198926,0,0,0,0,0,0,0,0,0,0.044243168,0,0,0,0,0,0,0,0,0.040656666,0,0,0,0,0,0,0,0,0,0,0,0,0.105869065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064170955,0.069486662,0,0,0,0,0.061044409,0,0,0,0,0,0,0,0,0,0,0.079874044
S45,Bare,0,0,0.267314994,0.188704685,0,0.648037974,0.458232046,0.078538735,0,0.087936143,0,0.051353537,0.345224477,0,0,0,0,0.028364858,0.019870403,0.031477088,0.035271747,0,0,0,0.113950813,0,0,0,0,0,0,0,0.143521281,0.041483436,0,0.043155757,0.054928311,0,0,0,0,0,0,0.027430228,0,0.072522219,0.040391575,0.054996082,0,0,0,0,0.0647624,0,0,0,0,0,0.05936074,0,0,0.021664018,0,0,0,0,0.056201986,0,0.028100993,0,0,0,0,0.089072479,0,0,0,0,0,0,0,0,0,0,0.057641618,0,0,0,0,0.027294097,0,0.0647624,0.023320087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029648979,0,0,0,0,0,0.021835278,0.039269368,0,0,0,0,0,0,0,0,0.050769956,0,0,0,0,0.026036909,0,0,0,0.040021003,0,0.035165984,0,0,0,0,0,0,0,0,0.02347927,0,0,0,0,0,0,0,0,0,0,0.03135853,0.120310944,0.132594264,0.039269368
S47,Bare,0,0,0.079210611,0.438706291,0,0.76717446,0.080006718,0.065936794,0,0.028258626,0.048945376,0,0,0.025673344,0.361413826,0,0,0,0,0,0,0,0,0,0.140257671,0,0,0,0,0,0,0,0.042275653,0,0,0,0,0,0.109271327,0,0,0,0,0.038674238,0,0,0.047898295,0.027806459,0,0,0,0,0,0,0,0,0,0,0.031843864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034333829,0,0.074510559,0,0.071293995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033398126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999218,0,0,0,0,0,0,0.054228146,0.108339358,0
S49,Bare,0,0,0.060351176,0.988342708,0,0.061571689,0,0,0,0.050717459,0.054748769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030234238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031721108,0,0.025113034,0,0,0,0,0,0,0,0,0,0,0,0.037077039,0,0,0,0,0,0,0,0,0,0,0.035912023,0,0,0,0.042341324,0,0,0,0.039393651,0,0,0,0,0,0.029160489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027664069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S52,Bare,0,0,0,0.042299564,0,0.44732753,0.018122009,0.211296938,0.797403919,0.048824005,0.081774388,0,0,0,0,0.226868551,0,0,0,0.035851331,0,0,0,0,0.076921988,0,0,0,0,0,0,0,0,0,0.053154817,0,0,0,0,0,0,0,0,0.082463898,0,0.024728868,0.02952927,0.083589155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027647715,0,0,0,0,0,0,0,0,0,0,0.021808811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046079524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02005033,0.019036291,0,0,0.033986578,0,0,0.034069777,0,0.037169547,0,0,0,0,0,0,0,0,0,0.022574265,0,0,0,0,0,0,0,0,0,0,0,0,0.061316364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064159292,0.121682522,0.02060739
S53,Bare,0,0,0.151461262,0.962007841,0,0.137273426,0,0,0,0.034375697,0,0.029968038,0,0,0,0,0,0,0,0,0,0.03261165,0,0,0.024468801,0.106915234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027643419,0,0.03999023,0,0,0,0,0,0,0.068636713,0,0,0,0,0,0,0,0,0.040186744,0,0,0,0,0,0,0,0.034145757,0,0,0,0,0,0,0,0.022974353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021375677,0,0,0,0,0,0,0,0,0.03505647,0,0,0,0,0,0,0,0,0.033914257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028897403,0,0,0,0,0,0,0.036487931,0.0468822,0
S55,Bare,0,0,0.137383607,0.701343114,0,0.52106345,0,0.064231187,0,0.036216922,0.049089754,0.024544877,0.280018106,0.160215441,0,0.070729279,0,0.021390599,0,0,0.039538869,0,0,0,0.095900521,0.078107423,0,0,0,0,0,0,0,0.028831057,0,0.027889928,0,0.077617716,0.117745482,0.056728792,0,0.047430568,0,0.042602569,0,0,0.035686631,0,0,0,0,0,0.033022909,0,0,0,0,0,0.024389035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050013153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051515383,0,0,0,0,0,0,0,0,0.025459905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027057205,0,0,0,0.020665282,0,0.036531402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180451813,0.098683095,0.023432227
S05,Bare,1,0,0.171784419,0.913163985,0,0.240113871,0.227314544,0.071499428,0,0.030205789,0.025992042,0.033590158,0,0.020611968,0,0,0,0,0,0,0.020098726,0,0,0,0.040969726,0,0,0,0,0,0,0,0,0,0,0,0,0.04676483,0.05763864,0.020442319,0,0.030549699,0,0.0443964,0,0,0,0.021112736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020947144,0,0.048519117,0,0,0,0,0,0,0,0,0,0,0,0,0.026125678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027042646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049933965,0.031337482,0
S09,Bare,1,0,0.493020978,0,0.484697156,0,0,0,0,0,0,0.09568514,0.175965582,0,0,0.333852173,0,0,0,0,0.058049861,0,0,0,0,0,0,0,0,0.175241441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098629985,0.217787357,0,0,0,0,0,0,0,0.059134999,0,0,0,0,0,0,0,0,0,0,0.098307136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214848121,0,0,0.221406537,0.09568514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10518114,0,0.09568514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113047582,0,0,0,0,0,0,0,0,0,0.081706743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126830443,0.325462344,0
